Stock,Date,Price,Open,High,Low,Vol.,Change %,Daily Price Change,Daily % Change,High–Low Range,High–Low % Range,Previous Close,Daily Return %,Volume % Change,Month / Year,Day Type
HDFC,31-10-2025,987.3,994,"1,004.45",981.15,23220000,-1.09%,-6.7,-0.006740443,23.30,0.023747643,0.00,0.00000000,0.00,Oct-2025,Down Day
HDFC,30-10-2025,998.15,"1,000.00","1,009.50",997.1,19960000,-0.96%,-1.85,-0.00185,12.40,0.012436065,987.30,0.01098957,-0.14,Oct-2025,Up Day
HDFC,29-10-2025,"1,007.85","1,004.90","1,012.50","1,000.00",17770000,0.43%,2.95,0.002935615,12.50,0.0125,998.15,0.00971798,-0.11,Oct-2025,Up Day
HDFC,28-10-2025,"1,003.55",997.65,"1,008.00",995,33900000,0.06%,5.9,0.005913898,13.00,0.013065327,1007.85,-0.00426651,0.91,Oct-2025,Down Day
HDFC,27-10-2025,"1,002.95",996.5,"1,009.05",996.2,15700000,0.82%,6.45,0.006472654,12.85,0.012899016,1003.55,-0.00059788,-0.54,Oct-2025,Down Day
HDFC,24-10-2025,994.75,"1,011.00","1,011.95",991.3,17710000,-1.39%,-16.25,-0.016073195,20.65,0.020831232,1002.95,-0.00817588,0.13,Oct-2025,Down Day
HDFC,23-10-2025,"1,008.80","1,016.00","1,020.50","1,006.00",43530000,0.11%,-7.2,-0.007086614,14.50,0.014413519,994.75,0.01412415,1.46,Oct-2025,Up Day
HDFC,21-10-2025,"1,007.70","1,006.00","1,010.00","1,004.00",3470000,0.47%,1.7,0.001689861,6.00,0.005976096,1008.80,-0.00109040,-0.92,Oct-2025,Down Day
HDFC,20-10-2025,"1,002.95",997,"1,020.00",997,22200000,0.04%,5.95,0.005967904,23.00,0.023069208,1007.70,-0.00471370,5.40,Oct-2025,Down Day
HDFC,17-10-2025,"1,002.55",993.95,"1,009.00",986,25210000,0.82%,8.6,0.008652347,23.00,0.023326572,1002.95,-0.00039882,0.14,Oct-2025,Down Day
HDFC,16-10-2025,994.35,982.65,996.6,981.5,22940000,1.65%,11.7,0.011906579,15.10,0.015384615,1002.55,-0.00817914,-0.09,Oct-2025,Down Day
HDFC,15-10-2025,978.25,975,984.9,973.35,23310000,0.11%,3.25,0.003333333,11.55,0.011866235,994.35,-0.01619148,0.02,Oct-2025,Down Day
HDFC,14-10-2025,977.15,970,980.45,967,22930000,0.02%,7.15,0.007371134,13.45,0.013908997,978.25,-0.00112446,-0.02,Oct-2025,Down Day
HDFC,13-10-2025,977,974.3,981,972,18630000,-0.40%,2.7,0.00277122,9.00,0.009259259,977.15,-0.00015351,-0.19,Oct-2025,Down Day
HDFC,10-10-2025,980.9,979,986.2,978.1,13760000,0.39%,1.9,0.001940756,8.10,0.008281362,977.00,0.00399181,-0.26,Oct-2025,Up Day
HDFC,09-10-2025,977.1,974.5,979,970.15,15370000,-0.16%,2.6,0.002668035,8.85,0.009122301,980.90,-0.00387399,0.12,Oct-2025,Down Day
HDFC,08-10-2025,978.7,976,985.9,974.55,15940000,-0.39%,2.7,0.002766393,11.35,0.011646401,977.10,0.00163750,0.04,Oct-2025,Up Day
HDFC,07-10-2025,982.5,974,989.85,971,25540000,0.93%,8.5,0.008726899,18.85,0.019412976,978.70,0.00388270,0.60,Oct-2025,Up Day
HDFC,06-10-2025,973.45,971.9,977.4,962,18540000,0.86%,1.55,0.001594814,15.40,0.016008316,982.50,-0.00921120,-0.27,Oct-2025,Down Day
HDFC,03-10-2025,965.15,952,966.75,952,26660000,-0.01%,13.15,0.013813025,14.75,0.015493697,973.45,-0.00852638,0.44,Oct-2025,Down Day
HDFC,01-10-2025,965.25,952.7,969.6,946,25350000,1.50%,12.55,0.013173087,23.60,0.024947146,965.15,0.00010361,-0.05,Oct-2025,Up Day
HDFC,30-09-2025,951,958.05,960,946.3,28300000,0.07%,-7.05,-0.007358697,13.70,0.014477438,965.25,-0.01476301,0.12,Sep-2025,Down Day
HDFC,29-09-2025,950.3,946.05,956.8,939.1,32400000,0.56%,4.25,0.004492363,17.70,0.018847833,951.00,-0.00073607,0.14,Sep-2025,Down Day
HDFC,26-09-2025,945.05,945.1,951.45,941.3,14870000,-0.51%,-0.05,-5.29045E-05,10.15,0.01078296,950.30,-0.00552457,-0.54,Sep-2025,Down Day
HDFC,25-09-2025,949.85,952.5,958,947.4,31410000,-0.13%,-2.65,-0.002782152,10.60,0.011188516,945.05,0.00507910,1.11,Sep-2025,Up Day
HDFC,24-09-2025,951.05,952.2,956.45,943,15120000,-0.64%,-1.15,-0.001207729,13.45,0.01426299,949.85,0.00126336,-0.52,Sep-2025,Up Day
HDFC,23-09-2025,957.2,967,968.2,955.5,21020000,-0.73%,-9.8,-0.010134436,12.70,0.01329147,951.05,0.00646654,0.39,Sep-2025,Up Day
HDFC,22-09-2025,964.2,964,971.2,961.95,10850000,-0.28%,0.2,0.000207469,9.25,0.009615884,957.20,0.00731300,-0.48,Sep-2025,Up Day
HDFC,19-09-2025,966.9,974.9,976.7,962.1,31240000,-1.02%,-8,-0.00820597,14.60,0.015175138,964.20,0.00280025,1.88,Sep-2025,Up Day
